Transaction_ID,Customer_ID,Account_Number,Transaction_Date,Transaction_Time,Transaction_Type,Amount,Merchant,Merchant_Category,Province,City,Device_Type,Device_OS,IP_Address,Login_Location,Card_Present,International,Previous_24hr_Transactions,Previous_24hr_Amount,Account_Age_Months,Customer_Age,Risk_Score,Fraud_Indicators,Fraud_Flag,Fraud_Type,Age_Group
T0000033,C00801,****3765,2025-07-08,02:25:00,EFT,2956.96,Engen,Fuel,Western Cape,Cape Town,Mobile App,Windows,196.1.221.67,Western Cape,Yes,No,8,4660.94,230,67,40,No Fraud,No,No Fraud,61-70
T0000034,C00281,****7269,2025-01-01,04:40:00,Online Transfer,992.33,Takealot,Electronics,Gauteng,Johannesburg,Internet Banking,iPhone,196.1.208.105,Gauteng,Yes,No,5,11873.93,167,46,19,No Fraud,No,No Fraud,41-50
T0000035,C00744,****8454,2025-08-26,12:34:00,POS Purchase,4573.6,Checkers,Grocery,Eastern Cape,Gqeberha,ATM,iPhone,196.1.157.86,Eastern Cape,No,No,9,3178.0,33,73,49,No Fraud,No,No Fraud,71-80
T0000036,C00761,****6982,2025-08-27,11:24:00,ATM Withdrawal,4496.14,Takealot,Electronics,Gauteng,Johannesburg,Mobile App,Android,196.1.135.203,Gauteng,Yes,No,6,15285.85,1,58,29,No Fraud,No,No Fraud,51-60
T0000037,C00640,****4424,2025-09-20,11:47:00,EFT,3162.17,Shoprite,Grocery,KwaZulu-Natal,Durban,Branch,Android,196.1.32.199,KwaZulu-Natal,Yes,No,5,15035.0,12,22,6,No Fraud,No,No Fraud,18-30
T0000038,C00288,****4887,2025-02-15,22:47:00,ATM Withdrawal,1072.44,Eskom,Utilities,Western Cape,Cape Town,Branch,Windows,196.1.173.219,Western Cape,Yes,No,2,931.0,169,62,15,No Fraud,No,No Fraud,61-70
T0000039,C00205,****6565,2025-09-28,22:14:00,ATM Withdrawal,1748.8,Eskom,Utilities,Gauteng,Johannesburg,Internet Banking,Android,196.1.126.71,Gauteng,No,No,18,16733.11,13,76,61,No Fraud,No,No Fraud,71-80
T0000040,C00513,****4881,2025-03-08,07:06:00,Deposit,3186.01,Eskom,Utilities,Gauteng,Johannesburg,Branch,Android,196.1.80.207,Gauteng,Yes,No,1,4838.7,138,34,12,No Fraud,No,No Fraud,31-40
T0000041,C00287,****7832,2025-06-13,08:52:00,Deposit,3380.51,Takealot,Electronics,KwaZulu-Natal,Durban,Branch,Android,196.1.188.237,KwaZulu-Natal,Yes,No,11,18457.02,189,75,19,No Fraud,No,No Fraud,71-80
T0000042,C00737,****1541,2025-01-26,08:56:00,ATM Withdrawal,236.25,Takealot,Electronics,Western Cape,Cape Town,Branch,Android,196.1.92.134,Western Cape,Yes,No,5,9801.32,180,71,47,No Fraud,No,No Fraud,71-80
T0000043,C01089,****7703,2025-03-01,10:12:00,Online Transfer,1237.75,Eskom,Utilities,Eastern Cape,Gqeberha,Mobile App,Mac,196.1.114.78,Eastern Cape,No,No,11,6565.0,146,22,57,No Fraud,No,No Fraud,18-30
T0000044,C00243,****8086,2025-08-05,20:42:00,Deposit,4324.86,Takealot,Electronics,Gauteng,Johannesburg,Mobile App,Android,196.1.80.198,Gauteng,Yes,No,12,6319.88,218,63,46,No Fraud,No,No Fraud,61-70
T0000045,C00756,****5220,2025-01-07,15:10:00,EFT,4595.23,Eskom,Utilities,KwaZulu-Natal,Durban,Mobile App,Mac,196.1.145.221,KwaZulu-Natal,Yes,No,18,12511.37,199,74,59,No Fraud,No,No Fraud,71-80
T0000046,C00936,****8608,2025-10-07,13:35:00,EFT,1681.84,Engen,Fuel,Gauteng,Johannesburg,Mobile App,iPhone,196.1.138.82,Gauteng,Yes,No,5,160.02,23,34,43,No Fraud,No,No Fraud,31-40
T0000047,C01011,****1579,2025-01-05,14:10:00,Bill Payment,4610.63,Eskom,Utilities,Gauteng,Johannesburg,Branch,iPhone,196.1.219.111,Gauteng,Yes,No,12,7375.1,194,37,69,No Fraud,No,No Fraud,31-40
T0000048,C00318,****9216,2025-03-23,11:12:00,Online Transfer,3770.81,Eskom,Utilities,Eastern Cape,Gqeberha,Mobile App,Mac,196.1.226.98,Eastern Cape,No,No,15,12375.56,79,62,9,No Fraud,No,No Fraud,61-70
T0000049,C00673,****1219,2025-08-23,03:49:00,POS Purchase,3863.37,Shoprite,Grocery,KwaZulu-Natal,Durban,Internet Banking,Mac,196.1.26.9,KwaZulu-Natal,Yes,No,7,6885.25,78,22,47,No Fraud,No,No Fraud,18-30
T0000050,C00944,****5715,2025-01-01,12:37:00,EFT,3212.01,Engen,Fuel,Gauteng,Johannesburg,ATM,Android,196.1.198.211,Gauteng,Yes,No,5,1363.81,153,60,17,No Fraud,No,No Fraud,51-60
T0000051,C00125,****6612,2025-10-31,03:27:00,POS Purchase,2210.43,Shoprite,Grocery,KwaZulu-Natal,Durban,ATM,iPhone,196.1.39.254,KwaZulu-Natal,No,No,1,17081.25,128,54,44,No Fraud,No,No Fraud,51-60
T0000052,C00933,****9498,2025-04-18,04:08:00,POS Purchase,2519.02,Engen,Fuel,KwaZulu-Natal,Durban,Mobile App,Android,196.1.228.125,KwaZulu-Natal,Yes,No,14,3395.42,74,69,20,No Fraud,No,No Fraud,61-70
T0000053,C01004,****1115,2025-06-13,06:30:00,POS Purchase,2288.7,Engen,Fuel,Eastern Cape,Gqeberha,Internet Banking,iPhone,196.1.246.189,Eastern Cape,Yes,No,5,11218.1,66,34,9,No Fraud,No,No Fraud,31-40
T0000054,C00147,****1908,2025-10-20,18:07:00,POS Purchase,2388.02,Engen,Fuel,Eastern Cape,Gqeberha,ATM,Android,196.1.84.202,Eastern Cape,No,No,2,4920.24,87,48,36,No Fraud,No,No Fraud,41-50
T0000055,C00038,****2889,2025-12-17,13:05:00,ATM Withdrawal,2260.45,Eskom,Utilities,KwaZulu-Natal,Durban,Mobile App,Windows,196.1.109.169,KwaZulu-Natal,Yes,No,0,15070.21,82,63,16,No Fraud,No,No Fraud,61-70
T0000056,C00650,****9876,2025-08-20,13:33:00,EFT,4751.53,Eskom,Utilities,KwaZulu-Natal,Durban,Branch,Windows,196.1.159.81,KwaZulu-Natal,Yes,No,12,3329.26,160,35,47,No Fraud,No,No Fraud,31-40
T0000057,C00505,****7614,2025-04-09,18:24:00,Deposit,2842.46,Eskom,Utilities,KwaZulu-Natal,Durban,Internet Banking,Android,196.1.146.97,KwaZulu-Natal,Yes,No,17,10829.21,190,19,25,No Fraud,No,No Fraud,18-30
T0000058,C00679,****7971,2025-11-10,09:45:00,Online Transfer,1093.66,Checkers,Grocery,Eastern Cape,Gqeberha,Mobile App,iPhone,196.1.117.45,Eastern Cape,Yes,No,0,14687.46,40,61,41,No Fraud,No,No Fraud,61-70
T0000059,C00606,****1799,2025-05-05,22:12:00,ATM Withdrawal,276.04,Eskom,Utilities,Western Cape,Cape Town,Mobile App,iPhone,196.1.138.114,Western Cape,No,No,5,6017.04,171,70,18,No Fraud,No,No Fraud,61-70
T0000060,C01014,****2489,2025-05-22,12:55:00,POS Purchase,887.41,Eskom,Utilities,Gauteng,Johannesburg,Branch,Mac,196.1.112.108,Gauteng,Yes,No,6,9358.87,226,37,3,No Fraud,No,No Fraud,31-40
T0000061,C00810,****8605,2025-12-03,16:04:00,ATM Withdrawal,2608.54,Eskom,Utilities,Eastern Cape,Gqeberha,ATM,iPhone,196.1.116.50,Eastern Cape,No,No,15,5831.02,217,44,30,No Fraud,No,No Fraud,41-50
T0000062,C00555,****7602,2025-07-27,23:44:00,POS Purchase,4891.45,Shoprite,Grocery,KwaZulu-Natal,Durban,Internet Banking,Android,196.1.83.113,KwaZulu-Natal,Yes,No,16,19280.21,186,64,2,No Fraud,No,No Fraud,61-70
T0000063,C00606,****8629,2025-05-03,04:30:00,Deposit,4119.8,Shoprite,Grocery,Gauteng,Johannesburg,ATM,Mac,196.1.147.171,Gauteng,Yes,No,12,710.19,106,40,31,No Fraud,No,No Fraud,31-40
T0000064,C00138,****4406,2025-05-22,02:42:00,POS Purchase,223.96,Takealot,Electronics,Gauteng,Johannesburg,ATM,Windows,196.1.159.23,Gauteng,Yes,No,15,4610.15,207,41,59,No Fraud,No,No Fraud,41-50
T0000065,C00621,****1945,2025-10-14,11:53:00,Deposit,4107.84,Engen,Fuel,Gauteng,Johannesburg,Branch,Android,196.1.53.149,Gauteng,No,No,1,17782.46,216,21,37,No Fraud,No,No Fraud,18-30
T0000066,C00461,****1595,2025-01-02,10:19:00,Bill Payment,4743.6,Checkers,Grocery,Eastern Cape,Gqeberha,Internet Banking,iPhone,196.1.124.115,Eastern Cape,Yes,No,18,16159.07,173,21,1,No Fraud,No,No Fraud,18-30
T0000067,C00970,****7233,2025-10-15,12:24:00,Online Transfer,1069.52,Shoprite,Grocery,Eastern Cape,Gqeberha,Internet Banking,Android,196.1.108.200,Eastern Cape,Yes,No,4,2990.84,238,56,62,No Fraud,No,No Fraud,51-60
T0000068,C00586,****4799,2025-07-31,10:42:00,POS Purchase,4463.41,Eskom,Utilities,KwaZulu-Natal,Durban,Internet Banking,Windows,196.1.139.241,KwaZulu-Natal,Yes,No,18,4960.75,236,59,4,No Fraud,No,No Fraud,51-60
T0000069,C00263,****3927,2025-12-17,01:03:00,EFT,2202.63,Engen,Fuel,Western Cape,Cape Town,Mobile App,Windows,196.1.54.97,Western Cape,Yes,No,7,13561.07,228,80,26,No Fraud,No,No Fraud,71-80
T0000070,C01140,****8166,2025-11-29,11:37:00,Bill Payment,514.23,Eskom,Utilities,KwaZulu-Natal,Durban,Internet Banking,Android,196.1.156.70,KwaZulu-Natal,Yes,No,18,6488.21,57,19,30,No Fraud,No,No Fraud,18-30
T0000071,C00772,****6330,2025-10-28,19:12:00,Bill Payment,4443.27,Eskom,Utilities,KwaZulu-Natal,Durban,Internet Banking,Android,196.1.157.182,KwaZulu-Natal,Yes,No,9,6223.29,93,71,21,No Fraud,No,No Fraud,71-80
T0000072,C00219,****3190,2025-11-25,04:37:00,EFT,797.07,Takealot,Electronics,KwaZulu-Natal,Durban,Branch,Mac,196.1.28.196,KwaZulu-Natal,Yes,No,9,13274.83,80,49,12,No Fraud,No,No Fraud,41-50
T0000073,C01127,****6326,2025-11-06,20:13:00,Deposit,3079.54,Shoprite,Grocery,Eastern Cape,Gqeberha,ATM,Mac,196.1.124.240,Eastern Cape,Yes,No,12,10560.11,122,32,5,No Fraud,No,No Fraud,31-40
T0000074,C00343,****3853,2025-05-08,13:26:00,POS Purchase,2652.93,Eskom,Utilities,Western Cape,Cape Town,Mobile App,Android,196.1.233.44,Western Cape,Yes,No,2,3862.24,61,38,26,No Fraud,No,No Fraud,31-40
T0000075,C00182,****8262,2025-07-20,14:49:00,POS Purchase,4248.81,Takealot,Electronics,KwaZulu-Natal,Durban,Mobile App,Android,196.1.125.172,KwaZulu-Natal,Yes,No,16,1463.52,139,46,43,No Fraud,No,No Fraud,41-50
T0000076,C00099,****4623,2025-08-13,06:49:00,POS Purchase,1260.29,Engen,Fuel,Eastern Cape,Gqeberha,ATM,Mac,196.1.83.74,Eastern Cape,Yes,No,19,13783.28,6,21,24,No Fraud,No,No Fraud,18-30
T0000077,C00220,****1374,2025-06-11,19:30:00,ATM Withdrawal,2152.17,Engen,Fuel,KwaZulu-Natal,Durban,Branch,iPhone,196.1.107.166,KwaZulu-Natal,Yes,No,0,2811.46,209,39,50,No Fraud,No,No Fraud,31-40
T0000078,C00806,****2845,2025-07-20,00:12:00,Online Transfer,547.56,Engen,Fuel,Western Cape,Cape Town,Mobile App,Android,196.1.32.225,Western Cape,No,No,4,11670.04,176,32,63,No Fraud,No,No Fraud,31-40
T0000079,C00005,****7228,2025-06-29,10:47:00,ATM Withdrawal,3006.26,Shoprite,Grocery,Gauteng,Johannesburg,ATM,Android,196.1.132.19,Gauteng,Yes,No,5,2153.4,110,69,12,No Fraud,No,No Fraud,61-70
T0000080,C01070,****8640,2025-09-08,15:01:00,Online Transfer,4924.3,Takealot,Electronics,Gauteng,Johannesburg,Internet Banking,Android,196.1.128.126,Gauteng,Yes,No,2,17492.87,141,18,48,No Fraud,No,No Fraud,
T0000081,C00699,****3031,2025-02-03,17:39:00,ATM Withdrawal,3490.34,Eskom,Utilities,Western Cape,Cape Town,Branch,Mac,196.1.157.242,Western Cape,Yes,No,11,17137.15,236,46,24,No Fraud,No,No Fraud,41-50
T0000082,C00007,****8701,2025-12-01,17:20:00,EFT,1100.36,Engen,Fuel,KwaZulu-Natal,Durban,Internet Banking,Android,196.1.27.85,KwaZulu-Natal,Yes,No,11,4307.16,228,29,6,No Fraud,No,No Fraud,18-30
T0000083,C00575,****3784,2025-08-24,14:13:00,ATM Withdrawal,1129.13,Takealot,Electronics,KwaZulu-Natal,Durban,ATM,iPhone,196.1.200.148,KwaZulu-Natal,No,No,5,14851.19,74,23,69,No Fraud,No,No Fraud,18-30
T0000084,C00263,****7511,2025-06-13,07:14:00,EFT,4996.92,Takealot,Electronics,Eastern Cape,Gqeberha,Branch,Android,196.1.24.115,Eastern Cape,Yes,No,9,498.52,52,67,36,No Fraud,No,No Fraud,61-70
T0000085,C00243,****2729,2025-04-28,19:55:00,ATM Withdrawal,2642.84,Eskom,Utilities,Eastern Cape,Gqeberha,Mobile App,Android,196.1.158.118,Eastern Cape,Yes,No,7,4529.6,137,28,23,No Fraud,No,No Fraud,18-30
T0000086,C00191,****7961,2025-12-22,02:47:00,Bill Payment,74328.31,Takealot,Electronics,Western Cape,Cape Town,Branch,Mac,196.1.41.179,Western Cape,Yes,No,8,13624.98,8,75,70,High Amount;New Device,Yes,Phishing,71-80
T0000087,C00128,****1950,2025-05-11,23:40:00,Deposit,1424.55,Engen,Fuel,Eastern Cape,Gqeberha,ATM,Android,196.1.218.212,Eastern Cape,No,No,5,4776.92,146,54,50,No Fraud,No,No Fraud,51-60
T0000088,C00997,****6733,2025-08-13,03:29:00,EFT,2122.5,Shoprite,Grocery,Eastern Cape,Gqeberha,Internet Banking,Mac,196.1.136.186,Eastern Cape,Yes,No,19,13076.17,164,70,51,No Fraud,No,No Fraud,61-70
T0000089,C00690,****3937,2025-03-11,18:16:00,ATM Withdrawal,2481.43,Eskom,Utilities,Eastern Cape,Gqeberha,ATM,Windows,196.1.197.195,Eastern Cape,Yes,No,20,5378.19,73,56,64,No Fraud,No,No Fraud,51-60
T0000090,C00784,****1129,2025-11-14,00:30:00,EFT,3695.86,Checkers,Grocery,KwaZulu-Natal,Durban,Mobile App,Windows,196.1.154.110,KwaZulu-Natal,Yes,No,0,14033.84,137,31,38,No Fraud,No,No Fraud,31-40
T0000091,C00302,****5469,2025-09-28,10:53:00,Bill Payment,792.28,Eskom,Utilities,Gauteng,Johannesburg,Mobile App,Windows,196.1.168.139,Gauteng,No,No,12,8182.65,80,67,34,No Fraud,No,No Fraud,61-70
T0000092,C00969,****7472,2025-04-29,13:35:00,Bill Payment,3730.35,Takealot,Electronics,Gauteng,Johannesburg,Internet Banking,Android,196.1.195.229,Gauteng,No,No,7,16429.4,128,38,52,No Fraud,No,No Fraud,31-40
T0000093,C00509,****6688,2025-02-27,06:28:00,ATM Withdrawal,2541.57,Eskom,Utilities,KwaZulu-Natal,Durban,Mobile App,Mac,196.1.249.13,KwaZulu-Natal,Yes,No,19,18833.42,40,40,5,No Fraud,No,No Fraud,31-40
T0000094,C00638,****2232,2025-10-18,00:50:00,EFT,649.66,Checkers,Grocery,Eastern Cape,Gqeberha,Mobile App,Mac,196.1.212.21,Eastern Cape,Yes,No,3,8642.58,116,37,38,No Fraud,No,No Fraud,31-40
T0000095,C00364,****3687,2025-12-01,14:22:00,ATM Withdrawal,4305.1,Checkers,Grocery,Eastern Cape,Gqeberha,Internet Banking,Windows,196.1.13.26,Eastern Cape,Yes,No,11,13421.92,98,27,43,No Fraud,No,No Fraud,18-30
T0000096,C00155,****3309,2025-12-19,17:29:00,EFT,4768.41,Shoprite,Grocery,KwaZulu-Natal,Durban,Internet Banking,Windows,196.1.143.218,KwaZulu-Natal,Yes,No,17,13947.53,33,34,13,No Fraud,No,No Fraud,31-40
T0000097,C01188,****3344,2025-10-04,15:40:00,POS Purchase,1649.19,Takealot,Electronics,Western Cape,Cape Town,Internet Banking,Mac,196.1.154.185,Western Cape,No,No,16,13591.09,117,78,10,No Fraud,No,No Fraud,71-80
T0000098,C01187,****6016,2025-10-13,20:24:00,ATM Withdrawal,501.03,Engen,Fuel,Eastern Cape,Gqeberha,ATM,Windows,196.1.25.64,Eastern Cape,Yes,No,3,11833.81,116,25,60,No Fraud,No,No Fraud,18-30
T0000099,C01128,****9546,2025-10-05,18:47:00,POS Purchase,4369.15,Takealot,Electronics,KwaZulu-Natal,Durban,Branch,Android,196.1.204.39,KwaZulu-Natal,No,No,4,1129.93,229,30,58,No Fraud,No,No Fraud,18-30
T0000100,C01063,****2437,2025-08-06,22:20:00,Online Transfer,1792.17,Checkers,Grocery,Western Cape,Cape Town,ATM,Windows,196.1.140.8,Western Cape,No,No,18,4885.86,209,24,7,No Fraud,No,No Fraud,18-30
T0000101,C00207,****6467,2025-05-23,04:03:00,Deposit,2940.01,Engen,Fuel,Eastern Cape,Gqeberha,Mobile App,Windows,196.1.174.237,Eastern Cape,No,No,18,12621.99,4,71,20,No Fraud,No,No Fraud,71-80
T0000102,C01024,****2909,2025-12-31,22:49:00,EFT,4575.14,Eskom,Utilities,Eastern Cape,Gqeberha,Branch,Mac,196.1.207.206,Eastern Cape,Yes,No,4,15430.43,166,34,38,No Fraud,No,No Fraud,31-40
T0000103,C01146,****4989,2025-10-17,18:14:00,POS Purchase,2328.57,Engen,Fuel,Gauteng,Johannesburg,Branch,Mac,196.1.14.107,Gauteng,Yes,No,20,700.01,86,51,58,No Fraud,No,No Fraud,51-60
T0000104,C00450,****2148,2025-01-16,10:47:00,Bill Payment,4775.2,Eskom,Utilities,Gauteng,Johannesburg,Branch,Mac,196.1.88.48,Gauteng,No,No,17,19964.53,207,67,47,No Fraud,No,No Fraud,61-70
T0000105,C00563,****5216,2025-01-10,20:00:00,POS Purchase,817.19,Shoprite,Grocery,Eastern Cape,Gqeberha,Branch,Mac,196.1.36.98,Eastern Cape,Yes,No,3,10415.57,88,58,25,No Fraud,No,No Fraud,51-60
T0000106,C00413,****9968,2025-04-27,20:06:00,POS Purchase,1182.36,Takealot,Electronics,Gauteng,Johannesburg,Branch,Mac,196.1.16.207,Gauteng,Yes,No,11,687.87,54,63,53,No Fraud,No,No Fraud,61-70
T0000107,C00748,****7645,2025-10-25,23:51:00,ATM Withdrawal,2579.74,Engen,Fuel,Western Cape,Cape Town,Branch,Windows,196.1.43.123,Western Cape,Yes,No,8,13467.09,229,76,3,No Fraud,No,No Fraud,71-80
T0000108,C00609,****4408,2025-04-23,11:15:00,EFT,2867.0,Takealot,Electronics,Eastern Cape,Gqeberha,Internet Banking,Windows,196.1.1.25,Eastern Cape,Yes,No,17,3742.69,173,37,26,No Fraud,No,No Fraud,31-40
T0000109,C00736,****6600,2025-10-12,22:18:00,Online Transfer,1029.9,Checkers,Grocery,Eastern Cape,Gqeberha,Mobile App,Windows,196.1.246.124,Eastern Cape,Yes,No,8,18070.1,216,72,22,No Fraud,No,No Fraud,71-80
T0000110,C00339,****7511,2025-04-30,04:13:00,Deposit,4546.74,Shoprite,Grocery,Western Cape,Cape Town,Branch,Windows,196.1.95.219,Western Cape,No,No,1,4420.91,134,56,62,No Fraud,No,No Fraud,51-60
